FID,STATION,STATUS,TYPE,LINE,ObjectId,x,y
101,SW River & Moody,Existing,SC,NS,101,-122.673923437997,45.5070676596018
102,SW River & Moody,Existing,SC,NS,102,-122.674139973699,45.5071431940944
103,SW Harrison St,Existing,SC,NS,103,-122.676531232402,45.5089532849172
104,SW 1st & Harrison,Existing,SC,NS,104,-122.677878143733,45.5097645882843
105,SW Harrison & 3rd,Existing,SC,NS,105,-122.67981306267,45.5102809623279
106,SW Moody & Gibbs,Existing,SC,NS,106,-122.671825023292,45.4993992318274
107,NW Northrup & 12th,Existing,SC,NS,107,-122.683317658976,45.5315369284984
108,SW Moody & Gaines,Existing,SC,NS,108,-122.671942043721,45.4961861553401
109,SW Lowell & Moody,Existing,SC,NS,109,-122.671376020145,45.4938943358842
110,SW Bond & Lane,Existing,SC,NS,110,-122.670932715525,45.4955976569213
111,OHSU Commons,Existing,SC,NS,111,-122.670738622484,45.4989422780713
112,Wilsonville,Existing,CR,WES,112,-122.775201079691,45.3111618451403
113,Tualatin,Existing,CR,WES,113,-122.764451609417,45.3836646246894
114,Tigard TC,Existing,CR,WES,114,-122.76977862267,45.4302203475384
115,Hall/Nimbus,Existing,CR,WES,115,-122.78706494762,45.4576158987771
116,Beaverton TC,Existing,CR,WES,116,-122.800876748693,45.4909202946899
117,SE Main St,Existing,MAX,G,117,-122.564432323409,45.5142685210971
118,SE Division St,Existing,MAX,G,118,-122.566619938885,45.5033942616785
119,SE Powell Blvd,Existing,MAX,G,119,-122.566179747154,45.4957626986226
120,SE Holgate Blvd,Existing,MAX,G,120,-122.566260210408,45.4910993605691
121,Lents/SE Foster Rd,Existing,MAX,G,121,-122.566799639671,45.4804216110595
122,SE Flavel St,Existing,MAX,G,122,-122.566634438845,45.4678475642068
123,SE Fuller Rd,Existing,MAX,G,123,-122.573609155445,45.4533978420077
124,Clackamas Town Center TC,Existing,MAX,G,124,-122.567759659926,45.4357225246852
125,PSU South/SW 6th and College,Existing,MAX,GY,125,-122.683637117977,45.5096272413739
126,PSU South/SW 5th and Jackson,Existing,MAX,GY,126,-122.682987643523,45.5089732847622
127,PSU Urban Center/SW 6th and Montgomery,Existing,MAX,GY,127,-122.682732223564,45.5113468670776
128,PSU Urban Center/SW 5th and Mill,Existing,MAX,GY,128,-122.681459372377,45.5117397545117
129,SW 6th and Madison St,Existing,MAX,GY,129,-122.680535964812,45.515421631017
